record_id,title,authors,year,venue,doi_or_id,Topology & HW Profile,Challenges,Signal Processing & Targeting Capabilities,Metrics & Evaluation,Solutions / Innovations,"Wavelength (λ,nm)",Range & Environment,Channel Impairment Focus,Turbulence Parameters (numeric only),Phase Retrieval / Channel Estimation,Beam Quality Metrics (numeric only),ISAC Coupling & Metrics,Hardware Maturity & Safety/Power,Evaluation Setup Notes,Risk of Bias,Normalization Notes,Anchor (p./Fig./Sec.),Notes,,,,,,,,,,,,,,,,,,,,,,
rec_00447,Performance Optimization for STAR-RIS-Aided Integrated Sensing and Communication Systems,Xiaolong Wu; Xueyan Cao; Shubin Wang,2025,2025 IEEE Wireless Communications and Networking Conference (WCNC),10.10_1109/WCNC61545.2025.10978152,"[C7] ISAC with BS (8 antennas), a STAR-RIS (M elements), one sensing target and multiple users employing NOMA; STAR-RIS operates in ES mode.",[C8] Coupled time/frequency/space allocation; echo interference from users degrades sensing; non-convex optimization.,"[C9] Alternating optimization split into sub-carrier allocation, active beamforming, and STAR-RIS coefficients; tools: relaxation, SCA, fractional programming, SDP.",[C10] Maximize sensing mutual information (MI) under per-user minimum SINR constraints.,[C11] Joint optimization of active/passive beams and multicarrier variables to balance sensing vs communication via MI metric.,,"[C13] BS at (0,0,0); STAR-RIS at (30,0,0); users/target on opposite sides within 3 m radius.",[C14] Rician channels; path-loss exponent 2.2.,,[C16] Implicit CSI availability at ISAC-BS for resource allocation.,,[C18] Integrated waveform; MI denominator includes user-echo interference term.,"[C19, C22] Pmax=36 dBm; ES protocol with $\beta_m^t+\beta_m^r=1$.","[C20] Benchmarks: sensing-only, random RIS phases, random sensing phases; CVX implementation.",[C21] Resource allocation prioritizes sensing (communication kept at minimum requirements).,[C22] Energy-splitting element normalization.,[C7][C8][C9][C10][C11][C13][C14][C16][C18][C19][C20][C21][C22],,,,,,,,,,,,,,,,,,,,,,,
rec_00448,"Multi-Beam Integrated Sensing and Communication: State-of-the-Art, Challenges and Opportunities",Yinxiao Zhuo; Tianqi Mao; Haojin Li; Chen Sun; Zhaocheng Wang; Zhu Han; Sheng Chen,2024,IEEE Communications Magazine,10.1109/MCOM.0012300634,"Survey of separated-signaling multi-beam ISAC; topologies: co-located Tx-RRx, co-located CRx-RRx, non-co-located RRx.",Mismatch between stable comm beams and fast-varying sensing beams; sidelobe leakage; inter-beam interference; FD self-interference; THz beam-squint.,Joint beamforming for gain stabilization; correlative channel modeling; inter-beam interference mitigation incl. compressed sensing.,Comm capacity; sensing CRLB; also NMSE and SINR.,Structured survey from Tx/channel/Rx perspectives; enabling technologies and open challenges.,,Targets mmWave/THz ISAC; IoV and intelligent traffic.,Correlated angles/delays from shared environment; 3GPP CDL emphasized.,Sensing-assisted channel estimation to reduce comm overhead.,,Spatially separated beams enabling reuse/cooperation; sensing sidelobes aiding comm.,Hardware isolation for FD; PA imbalance; RIS contributions discussed.,Comparison vs resource-division and waveform-sharing; multi-beam offers spectral & flexibility gains.,Advocacy for multi-beam approaches noted (potential bias).,Assumes quasi-static comm beams vs time-varying sensing beams.,Standard ISAC normalization (SINR/NMSE/CRLB).,[C7][C8][C9][C10][C11][C13][C14][C16][C18][C19][C20][C21][C22],"Survey advocating multi-beam ISAC advantages and highlighting challenges in interference, stability, and THz constraints.",,,,,,,,,,,,,,,,,,,,,,
rec_00449,Detecting Angle of Arrival on a Hybrid RIS Using Intensity-Only Data,Idban Alamzadeh; Mohammadreza F. Imani,2023,IEEE Antennas and Wireless Propagation Letters,10.1109/LAWP.2023.3288123,Hybrid RIS with varactor-loaded conventional meta-atoms plus two hybrid mushroom meta-atoms with rectangular slot coupled to SIWs for sensing [C7],Sensing complex amplitude and phase requires complicated setups; dedicated antennas reduce reflective aperture [C8],AoA detection using random binary masks to multiplex intensity-only measurements; computational ghost imaging processing [C9][C11],AoA detection accuracy within ±3 deg vs SNR [C10],Intensity-only sensing; GI-based retrieval; single RF transmission line; around 30 masks sufficient [C11][C19][C20],51724138,Free-space HFSS simulation; AoA range ±60 deg [C13],Additive noise with SNR sweep from −50 to 50 dB [C14],,GI correlation against reference sensing matrix built from 25 known AoAs [C16],,HRIS elements reflect while also sense a portion of the incident signal [C18],Simplified sensing circuitry with single RF line [C19],Full-wave simulations in Ansys HFSS; S=30 random binary masks; varactor values 0.4 pF and 0.86 pF [C20],,,,[C2][C7][C8][C9][C10][C11][C12][C13][C14][C16][C18][C19][C20],,,,,,,,,,,,,,,,,,,,,,
rec_00450,Optimal Beamforming Design for ISAC with Sensor-Aided Active RIS,Ahmed Magbool; Vaibhav Kumar; Mark F. Flanagan,2025,2025 IEEE Wireless Communications and Networking Conference (WCNC),10.1109/WCNC61545.2025.10978434,Downlink ISAC; BS with M antennas; K single-antenna users; one active RIS with N reflecting and L sensing elements [C7],Non-convex design; quadruple path loss when LoS is blocked; multiplicative fading; active RIS dynamic noise [C8][C14],Optimal Tx Rx reflection beamforming; simultaneous target sensing and data transmission [C9],Max received radar SNR; echo SNR vs L over L+N and vs total elements; empirical detection probability [C10],Sensor-aided active RIS with embedded sensors eliminating echo return path; closed-form receive beamforming; SCA-based iterative transmit and reflection design [C11],,BS 0 0 2.5 m; RIS 20 0 2.5 m; users within r 4 m circle at 20 5 0 m; target 10 m from RIS [C13],Quadruple path loss; multiplicative fading; AWGN; dynamic noise at active RIS [C14],,Rician BS–RIS and RIS–user; LoS RIS–target [C16],,Maximize echo SNR subject to communication SINR constraints [C18],Total power includes BS transmit plus RIS amplified power plus RIS dynamic noise power [C19],Monte Carlo 300 realizations; compared to non-sensor-aided active RIS and sensor-aided passive RIS [C20],,,,[C2][C7][C8][C9][C10][C11][C13][C14][C16][C18][C19][C20],,,,,,,,,,,,,,,,,,,,,,
rec_00451,ISAC OPTIMIZATION The ISAC systems aided by MIMO RIS and with Beamforming Techniques,Rafael Augusto Pedriali; Isadora Martines Ferreira; Jose Carlos Marinello; Taufik Abrão,2025,arXiv,arXiv:2505.03090v1,One BS and two RISs used as anchors; M=3 for sensing and M=31 for communication at BS; each RIS N=3; static RIS configuration; TDD-like frames [C7][C9],Overcoming NLoS; balancing sensing–communication trade-off; handling system complexity; multipath reflections in urban or indoor settings [C8][C14],3D localization via trilateration AoA ToA; time-multiplexed sensing and communication [C9],Sensing success rate vs distance error threshold; BER for 16-QAM and BPSK; ISAC success rate vs SNR [C10],Low-complexity analytical localization O 1; static RIS configured once [C11],30000000,BS 0 0 0; RIS1 0 55 0; RIS2 55 0 0; coverage 55x55 m area [C13],Multipath fading; reflections diffractions scattering; ToA estimation errors modeled Gaussian [C14],,Rice fading with factor 3 [C16],,Time-division ISAC where sensing enables directive communication thereafter [C18],Low energy for sensing 0.4 mJ; constant-time computation O 1 [C19],Monte Carlo 5000 trials; communication uses BPSK with M=31; sensing uses 16-QAM with M=3 [C20],,,,[C2][C7][C8][C9][C10][C11][C12][C13][C14][C16][C18][C19][C20],,,,,,,,,,,,,,,,,,,,,,
rec_00452,On the Secrecy-Sensing Optimization of RIS-assisted Full-Duplex Integrated Sensing and Communication Network,Elmehdi Illi; Ahmad Bazzi; Marwa Qaraqe; Ali Ghrayeb,2025,arXiv,arXiv:2504.20912v1,FD DFRC BS with Nt Tx and Nr Rx serves J DL and K UL users; one N-element RIS; L malicious targets sensed [C7],Absence of direct links due to blockage; secrecy risk from malicious targets; residual self-interference; non-convex coupling among variables [C8][C14],Monostatic radar sensing of L targets; optimized artificial noise for disruption and sensing power; joint design of RIS phases Tx beamforming AN covariance UL powers combining [C9][C11],Max sensing power at targets; secrecy capacity; RIS beampattern; received echo SINR [C10],AO and SCA optimization; AN serves as both jammer and sensing waveform [C11][C20],85000000,BS–RIS 22 m; RIS–DL users 30 m; RIS–UL and RIS–targets 20 m [C13],Blocked direct links; residual self-interference; Rician fading for BS–RIS and RIS–nodes [C14],,Assumes perfect CSI available at DFRC BS [C16],,Maximize sensing under UL and DL secrecy constraints [C18],Total power constraint across BS transmit AN and UL users [C19],Compared with RIS-less FD-ISAC benchmark scheme [C20],Assumes perfect CSI [C16],,,[C2][C7][C8][C9][C10][C11][C12][C13][C14][C16][C18][C19][C20],,,,,,,,,,,,,,,,,,,,,,
rec_00455,Hybrid Deep Reinforcement Learning for Enhancing Localization and Communication Efficiency in RIS-Aided Cooperative ISAC Systems,Prajwalita Saikia; Keshav Singh; Wan-Jen Huang; Trung Q. Duong,2024,IEEE Internet of Things Journal,,"[C7: ""cooperative ISAC system... N ≥ 2 BSs... RIS equipped with P elements; ... VUs with single antenna."":contentReference[oaicite:0]{index=0}]","[C8: ""reliability... in the absence of a direct LoS connection; ... with restricted resources."":contentReference[oaicite:1]{index=1}] [C8: ""multiuser interference""] [C8: ""NP-hard high-dimensional decision space""]","[C9: ""formulating an optimization problem to minimize the SPEB... optimizing the transmit beamformerphase shift and subcarrier assignment"":contentReference[oaicite:2]{index=2}] [C9: ""construct a framework based on Markov decision processes (MDPs)... hybrid deep reinforcement learning (HDRL)"":contentReference[oaicite:3]{index=3}]","[C10: ""A lower SPEB signifies higher localization accuracy..."":contentReference[oaicite:4]{index=4}] [C10: ""γ_min represents the minimum required SINR"":contentReference[oaicite:5]{index=5}]","[C11: ""RIS-assisted SLAC protocol"":contentReference[oaicite:6]{index=6}] [C11: ""cloud coordinates the transmission strategies across multiple BSs"":contentReference[oaicite:7]{index=7}] [C11: ""hybrid deep reinforcement learning (HDRL)""]",,"[C13: ""Cellular environment with vehicular users""] [C13: ""neighboring BSs operate on orthogonal frequency channels"":contentReference[oaicite:8]{index=8}]","[C14: ""absence of a direct LoS connection""] [C14: ""multiuser interference""] [C14: ""sensing–communication trade-off""]",,,,"[C18: ""optimize the balance between... sensing and communication"":contentReference[oaicite:10]{index=10}] [C18: ""SPEB quantifies localization""] [C18: ""cooperative scheduling selects serving BSs""]",,"[C20: ""Simulation results demonstrate the impact of SPEB... varying the number of RIS elements... noise..."":contentReference[oaicite:11]{index=11}]",,,"[C7: ""cooperative ISAC system... N ≥ 2 BSs... RIS equipped with P elements; ... VUs with single antenna."":contentReference[oaicite:0]{index=0}]; [C8: ""reliability... in the absence of a direct LoS connection; ... with restricted resources."":contentReference[oaicite:1V]{index=1}]; [C9: ""formulating an optimization problem to minimize the SPEB... optimizing the transmit beamformerphase shift and subcarrier assignment"":contentReference[oaicite:2]{index=2}]; [C9: ""construct a framework based on Markov decision processes (MDPs)... hybrid deep reinforcement learning (HDRL)"":contentReference[oaicite:3]{index=3}]; [C10: ""A lower SPEB signifies higher localization accuracy..."":contentReference[oaicite:4]{index=4}]; [C10: ""γ_min represents the minimum required SINR"":contentReference[oaicite:5]{index=5}]; [C11: ""RIS-assisted SLAC protocol"":contentReference[oaicite:6]{index=6}]; [C11: ""cloud coordinates the transmission strategies across multiple BSs"":contentReference[oaicite:7]{index=7}]; [C13: ""neighboring BSs operate on orthogonal frequency channels"":contentReference[oaicite:8]{index=8}]; [C14: ""amplifying the signal... could worsen the interference... manage the tradeoff"":contentReference[oaicite:9]{index=9}]; [C18: ""optimize the balance between... sensing and communication"":contentReference[oaicite:10]{index=10}]; [C20: ""Simulation results demonstrate the impact of SPEB... varying the number of RIS elements... noise..."":contentReference[oaicite:11]{index=11}]",,,,,,,,,,,,,,,,,,,,,,,
rec_00456,Reconfigurable Intelligent Surface Assisted Mobile Target Tracking With Agile Phase Control,Mengqi Bian; Yunmei Shi; Xin-Lin Huang,2024,IEEE Transactions on Vehicular Technology,10.1109/TVT.2023.3337793,RIS-assisted ISAC with RIS deployed at BS side; predictive phase control; echoes collected at RIS for tracking in 3D high-mobility scenario.,"Mobile target sensing/tracking demands high-accuracy, low-complexity, robust reliability; conventional schemes have high complexity/overhead; need energy-efficient cost-effective design.","Linearized state-evolution model; measurements model (signal strength, time delay, Doppler); PF and EKF state estimation; predictive RIS phase design for target tracking.",Tracking accuracy and communication rate improvements; EKF ≈15% average advantage with lower complexity (numerical).,RIS-based predictive sensing & tracking; agile phase strategy; exploiting motion trajectory with PF/EKF fusion.,,3D high-mobility environment; near-/NLoS scenarios discussed in related work.,NLoS scenarios; complexity/overhead burdens in conventional tracking.,,,,ISAC improves tracking accuracy and communication rate; joint sensing-communication design emphasized.,Energy-efficient and cost-effective characteristics of RIS highlighted.,Numerical results validate predictive phase design effectiveness; performance comparison PF vs EKF.,,,"[C7: ""RIS... deployed at the base station (BS) side."":contentReference[oaicite:13]{index=13}]; [C8: ""Mobile target sensing and tracking impose more stringent requirements on high-accuracylow-complexity and robust-reliability"":contentReference[oaicite:14]{index=14}]; [C8: ""conventional target tracking schemes... high computational complexity together with large overhead burden"":contentReference[oaicite:15]{index=15}]; [C9: ""apply a particle filtering (PF) and an extended Kalman filtering (EKF) based algorithms"":contentReference[oaicite:16]{index=16}]; [C9: ""measurements model... signal strengthtime delay and Doppler shift"":contentReference[oaicite:17]{index=17}]; [C10: ""tracking accuracy and the communication rate can be improved"":contentReference[oaicite:18]{index=18}]; [C10: ""EKF scheme is superior to the PF about 15% averagely"":contentReference[oaicite:19]{index=19}]; [C11: ""RIS-based predictive sensing and tracking scheme"":contentReference[oaicite:20]{index=20}]; [C13: ""practical 3D high-mobility environment"":contentReference[oaicite:21]{index=21}]; [C14: ""In the NLoS scenarioa RIS-enabled single target sensing scheme is investigated"":contentReference[oaicite:22]{index=22}]; [C18: ""ISAC system... could yield tremendous improvement in tracking accuracy as well as communication rate"":contentReference[oaicite:23]{index=23}]; [C19: ""energy-efficient and cost-effective characteristics"":contentReference[oaicite:24]{index=24}]; [C20: ""numerical results are provided to validate the effectiveness"":contentReference[oaicite:25]{index=25}]:contentReference[oaicite:26]{index=26}",,,,,,,,,,,,,,,,,,,,,,,
rec_00457,A State-of-the-Art Survey on IRS-NOMA for Integrated Sensing and Communication,Shantanu Narayan Sur; Ankit Chaudhary; Anirban Rudra; Md Minhazur Rahman; Jabir Ali; Sambit Kumar Mishra; Rajesh Kumar; Tan Yu,2024,IEEE Access,10.1109/ACCESS.2024.3482312,"[C7: p.1] Survey of IRS-NOMA within ISAC; outlines ISAC configurations (mono/bi-static); DL-ISAC model with Nt/Nr, LoS & NLoS paths; receiver beamforming and SCNR expression.","[C8: p.1] RCC limitations (coordination, interference, synchronization, compatibility); DFRC trade-offs due to shared resources (spectrum/power/antennas).",[C9: p.1] Block-level ISAC signal models; receiver beamforming maximizing SCNR; NOMA via superposition coding and SIC; REIR considered with CU/RT pairing and power allocation.,[C10: p.1] SCNR formula; discussion of REIR and communication rate tradeoffs; system-level comparisons in figures/tables.,"[C11: p.1] Integrative perspective linking ISAC, NOMA, IRS; organizes architectures, models, and coexistence summaries.",,[C13: p.1] LoS + cluttered NLoS paths in DL-ISAC; mono/bi-static transmitter/receiver placements.,[C14: p.1] Inter-functionality interference (IFI); clutter as NLoS; coexistence constraints.,,,,[C18: p.1] Coupling between communication rates and radar estimation information rate (REIR) under NOMA/IRS.,,[C20: p.1] Synthesis-style; no dedicated experimental setup (survey figures/tables).,,,"[C7] p.1, DL-ISAC model with $N_t, N_r$...; p.1, ISAC system configuration can be characterized into four categories; [C8] p.1, RCC... need for two different systems... severe interference, synchronization and compatibility; p.1, DFRC... trade-off... degradation in both radar and communication performance; [C9] p.1, received sensing signal... SCNR... expressed as in (16); p.1, NOMA... superimposing signals... advanced signal processing... boost network capacity; [C10] p.1, SCNR =; p.1, balances... communication rates of CUs and the radar estimation information rate (REIR); [C11] p.1, Integrative perspective linking ISAC, NOMA, IRS; p.1, organizes architectures, models, and coexistence summaries; [C13] p.1, LoS path contains desired target information and NLoS paths are from clutter; [C14] p.1, inter-functionality interference (IFI) in a ISAC-NOMA environment; p.1, NLoS paths are from clutter; [C18] p.1, balances... communication rates of CUs and the radar estimation information rate (REIR) under NOMA/IRS.; [C20] p.1, Synthesis-style; no dedicated experimental setup (survey figures/tables)",,,,,,,,,,,,,,,,,,,,,,,
rec_00457,A State-of-the-Art Survey on IRS-NOMA for Integrated Sensing and Communication,Shantanu Narayan Sur; Ankit Chaudhary; Anirban Rudra; Md Minhazur Rahman; Jabir Ali; Sambit Kumar Mishra; Rajesh Kumar; Tan Yu,2024,IEEE Access,10.1109/ACCESS.2024.3482312,"[C7: ""ISAC system configuration can be characterized into four categories"":contentReference[oaicite:27]{index=27}]; [C7: ""assume that there are L paths [One LoS and L−1 NLoS Paths]"":contentReference[oaicite:28]{index=28}] (Survey)","[C8: ""RCC... need for two different systems... severe interferencesynchronization and compatibility"":contentReference[oaicite:29]{index=29}]; [C8: ""DFRC... trade-off... degradation in both radar and communication performance"":contentReference[oaicite:30]{index=30}]","[C9: ""received sensing signal... SCNR... expressed as in (16)"":contentReference[oaicite:31]{index=31}]; [C9: ""NOMA... superimposing signals... advanced signal processing... boost network capacity"":contentReference[oaicite:32]{index=32}]","[C10: ""SCNR ="":contentReference[oaicite:33]{index=33}]; [C10: ""balances... communication rates of CUs and the radar estimation information rate (REIR)"":contentReference[oaicite:34]{index=34}]","[C11: p.1] Integrative perspective linking ISAC, NOMA, IRS; [C11: p.1] organizes architectures, models, and coexistence summaries.",,"[C13: ""LoS path contains desired target information and NLoS paths are from clutter"":contentReference[oaicite:35]{index=35}]","[C14: ""inter-functionality interference (IFI) in a ISAC-NOMA environment"":contentReference[oaicite:36]{index=36}]; [C14: ""LoS path contains desired target information and NLoS paths are from clutter"":contentReference[oaicite:35]{index=35}]",,,,"[C18: ""balances... communication rates of CUs and the radar estimation information rate (REIR)"":contentReference[oaicite:34]{index=34}]",,[C20: p.1] Synthesis-style; no dedicated experimental setup (survey figures/tables).,[C21: p.1] Survey...,,"[C7: ""ISAC system configuration can be characterized into four categories"":contentReference[oaicite:27]{index=27}]; [C7: ""assume that there are L paths [One LoS and L−1 NLoS Paths]"":contentReference[oaicite:28]{index=28}]; [C8: ""RCC... need for two different systems... severe interferencesynchronization and compatibility"":contentReference[oaicite:29]{index=29}]; [C8: ""DFRC... trade-off... degradation in both radar and communication performance"":contentReference[oaicite:30]{index=30}]; [C9: ""received sensing signal... SCNR... expressed as in (16)"":contentReference[oaicite:31]{index=31}]; [C9: ""NOMA... superimposing signals... advanced signal processing... boost network capacity"":contentReference[oaicite:32]{index=32}]; [C10: ""SCNR ="":contentReference[oaicite:33]{index=33}]; [C10: ""balances... communication rates of CUs and the radar estimation information rate (REIR)"":contentReference[oaicite:34]{index=34}]; [C13: ""LoS path contains desired target information and NLoS paths are from clutter"":contentReference[oaicite:35]{index=35}]; [C18: ""inter-functionality interference (IFI) in a ISAC-NOMA environment"":contentReference[oaicite:36]{index=36}]",,,,,,,,,,,,,,,,,,,,,,,
rec_00458,Secure Design for RIS-Assisted Multi-Target ISAC Systems,Xinji Wang; Xin Chen; Haiyang Cao; Zenebe Melesew Yetneberk; Chaowen Liu; Tong-Xing Zheng,2024,International Conference on Ubiquitous Communication,10.1109/UCOM62433.2024.10695872,DFRC BS with multi-antennas; multi-antenna user; malicious targets as eavesdroppers; RIS with adjustable phases.,Broadcast security risk; high-power radar illumination leaks information.,Joint optimization of Tx matrix + RIS phase matrix; AO with auxiliary vars + BCD.,Secrecy rate; target detection performance via simulations.,RIS-aided secure ISAC design via alternating optimization.,,Generic ISAC conference scenario.,Security leakage from radar illumination; eavesdropping.,,,ISAC integration with secrecy constraint.,Simulation-based study.,Extensive experiments for secrecy/detection.,,,[C7][C8][C9][C10][C11][C18][C20],RIS-aided secure ISAC maximizing secrecy rate while ensuring target detection.,,,,,,,,,,,,,,,,,,,,,,,
rec_00459,RIS-Assisted Integrated Sensing and Backscatter Communications for Future IoT Networks,Nan Wu; Xinyi Wang; Zesong Fei; Fanghao Xia; Jingxuan Huang; Arumugam Nallanathan,2024,IEEE Internet of Things Magazine,10.1109/IOTM.001.2300184,RIS-assisted ISABC where sensing nodes act as RF sources and RIS-equipped IoT devices perform backscatter and assist sensing in future IoT networks [C1],Low-power IoT (<1 mW); severe round-trip loss; dense RF source deployment causing interference [C2],Critical techniques: resource allocation; interference management; waveform and reflection design; distributed signal processing; ambient backscatter transceiver design [C3],,Introduces RIS-assisted ISABC framework integrating sensing nodes and RIS-assisted IoT with applications and key techniques [C4],,B5G/6G intelligent IoT with ubiquitous sensing; massive mMTC; enabling NLoS sensing [C5],Severe round-trip propagation attenuation; inter-device and inter-system interference in dense RF environments [C2],,,,ISABC couples sensing nodes as RF sources with RIS-assisted backscatter to support simultaneous target sensing and low-power communications [C6],RIS realizations via antenna arrays or metamaterials; passive IoT devices with energy harvesting/backscatter for constrained power [C7],"Tutorial-style article; presents architecture, applications, techniques; no specific experimental testbed detailed [C8]",,,"[C1] p.44: ""we introduce a novel concept of RIS-assisted integrated sensing and backscatter communication (ISABC) system"". [C2] p.44–45: discusses IoT battery <1 mW and ""low data rate due to the severe round-trip signal propagation"" plus RF source interference. [C3] p.45; p.3: ""critical techniques, including resource allocation, interference management, waveform and reflection design, distributed signal processing, and ambient backscatter communication transceiver design"". [C4] p.45: outlines ""system architecture for RIS-assisted ISABC systems, with several potential applications discussed"". [C5] p.44: beyond 5G/6G; ""ubiquitous sensing, and connected intelligence"". [C6] p.44–45: sensing nodes in ISAC networks proposed as RF sources for backscatter while performing sensing. [C7] p.45: RIS realized using antenna elements or metamaterials controlled by FPGA. [C8] p.47: conclusion summarizing framework, techniques, challenges; no concrete numeric experiment.",Overview of RIS-assisted ISABC concept; qualitative only; central for mapping RIS-assisted ISAC-backscatter design space. :contentReference[oaicite:0]{index=0},,,,,,,,,,,,,,,,,,,,,,
rec_00460,Metasurface phased arrays for conventional and quantum optics,M Z Alam,2025,Journal of Optics,10.1088/2040-8986/ad9288,Metasurface-based optical phased arrays (OPAs) comprising arrays of emitters with tunable phase for beam steering; review of active metasurface architectures [C1],Key challenges: achieving 0–2π phase range; sidelobes and grating lobes; dense electrical addressing; material loss; power-handling limits [C2],"Provides analytical OPA steering relations and discusses phase-gradient metasurfaces, sparse arrays, and active materials for beam control [C3]","Defines FOV and FWHM formulas; discusses sidelobe constraints and application-driven specs (e.g. LIDAR range, resolution) as performance metrics [C4]","Surveys TCO, semiconductor, PCM, and hybrid PIC–metasurface solutions achieving large phase shifts, high-speed tuning, and demonstrated beam steering [C5]",,Example LIDAR specification: FOV 60–120 deg; range 200 m; also targets FSO and satellite links [C6],"Focus on array-induced effects: sidelobes, grating lobes, absorption and heating in active media; not turbulence/fading [C2;C7]",,,"FOV, FWHM, sidelobe level, scan range used as primary beam quality indicators [C4]",,Highlights power handling up to multi-kW/cm2 irradiation for active metasurfaces; low-energy tuning in TCO/PCM platforms [C8],"Summarizes multiple experimental setups (ITO-based, PCM-based, semiconductor and PIC-integrated metasurface OPAs) demonstrating steering angles and phase ranges [C5]",,Notes lack of uniform benchmarking across applications; many designs not normalized to common figures of merit [C9],"[C1] p.119–123: introduces metasurface OPAs and their role in beam steering. [C2] p.272–281; p.293–301: discusses need for small pitch, full phase range, and issues of sidelobes/grating lobes. [C3] p.200–209; eqs. (1)–(3): derives θ, FOV, FWHM for phased arrays. [C4] p.234–247; 249–257: formal definitions of FOV and FWHM; sidelobe constraints. [C5] p.373–377; 430–471; 569–576: reviews TCO, semiconductor, PCM, and hybrid metasurface OPA demonstrations. [C6] p.154–157; 182–185: LIDAR spec with 60–120° FOV and 200 m range. [C7] p.259–270; 585–600: notes absorption/heating and grating-lobe issues. [C8] p.581–599: high-irradiance tests (up to ~9.1 kW/cm²) with modest temperature rise. [C9] p.348–350: sparse/non-uniform OPAs ""not been benchmarked against specific applications"" making comparisons difficult.",Topical review consolidating metasurface OPA physics and implementations; no single canonical operating point; use as hardware reference for OWC/ISAC front-ends. :contentReference[oaicite:1]{index=1},,,,,,,,,,,,,,,,,,,,,,
rec_00461,"Multi-Functional RIS for a Multi-Functional System: Integrating Sensing, Communication, and Wireless Power Transfer",Ahmed Magbool; Vaibhav Kumar; Ahmad Bazzi; Mark F. Flanagan; Marwa Chafii,2025,IEEE Network,10.1109/MNET.2024.3482571,"[C1] Sensor-aided zero-energy RIS (SAZE-RIS) within ISCAP: multi-functional RIS providing reflection, sensing, and energy harvesting, coordinated by a central unit",[C2] Challenges: limited backhaul capacity; self-interference from simultaneous functions; inaccurate sensing information; dynamic environment with LoS/NLoS mix and clutter,"[C3] Discusses optimization of SAZE-RIS configuration and protocols to reconcile communication, sensing, and powering demands in ISCAP",[C4] Includes a comprehensive SAZE-RIS ISCAP case study with simulations illustrating multi-objective performance trade-offs (qualitative description),"[C5] Proposes SAZE-RIS as key enabler; outlines operational protocols and strategies to jointly serve sensing, communication, and WPT",,"[C13: C1, C6] 6G-oriented ISCAP scenarios... diverse environments; emphasis on ubiquitous coverage... LoS for sensing/powering vs NLoS for communication...",[C14: C6] ...impact of moving obstacles and clutter on SAZE-RIS modeling,,,,"[C18: C7] SAZE-RIS tightly couples sensing, communication, and powering; sensing information exploited to enhance communication and EH in ISCAP",[C19: C8] Introduces zero-energy RIS (ZeRIS) and SAZE-RIS concepts relying on harvested power; hardware constraints and low-cost implementations discussed,[C20: C4] SAZE-RIS ISCAP case study with simulation-based evaluation; details qualitative but used to demonstrate feasibility and gains,,,[C1] p.51–56; 58–63; [C2] p.64–66; 71–75; [C3] p.55–57; [C4] p.60–62; [C5] p.51–55; [C13] p.41-45; [C14] p.41-45; [C18] p.31–35; [C19] p.39–47; 51–55,[C24] Conceptual ISCAP/SAZE-RIS framework plus qualitative simulations; useful for taxonomy and design constraints rather than fixed numeric benchmarks.,,,,,,,,,,,,,,,,,,,,,,
rec_00462,Robust Secure Beamforming for Integrated Sensing and Communication Systems With the Active RIS,Hao Peng; Chengyan He; Zhaolin Zhang; Chuang Han; Ling Wang,2025,IEEE Transactions on Vehicular Technology,10.1109/TVT.2024.3492067,[C1: p.5158–5160] Active RIS-aided RSMA ISAC system: multi-antenna BS; active RIS; multiple users; multiple targets viewed as potential eavesdroppers.,[C2: p.5151–5153] Targets act as eavesdroppers; security under imperfect eavesdropper CSI; limitations of passive RIS due to product path loss.,[C3: p.5159–5163] Joint robust active beamforming at BS and active RIS for RSMA-ISAC; solved via AO algorithm using SDR and Taylor expansion.,[C4: p.5159–5161; Fig.4–5 captions] Objectives/metrics: maximize minimum radar SINR across angles under security outage probability constraints; evaluate SINR vs power budget and secrecy rate.,[C5: p.5163–5164] Proposed suboptimal iterative AO scheme for robust secure beamforming improving sensing and secrecy over passive RIS baselines.,,[C6: Fig.4–5 descriptions] Simulation setting... generic cellular/vehicular scenario.,[C7: p.5152–5156] Accounts for path-loss attenuation of passive RIS; interference plus noise; active RIS amplifier noise; secure-communication constraints.,,,[C9: p.5159–5161; 5] Beam performance evaluated via minimum radar SINR; figures show dB gains of active RIS over passive/SDMA schemes.,[C10: p.5120–5125; 5159–5161] ISAC coupling via joint optimization trading radar SINR against secrecy rate; secure RSMA with active RIS enhances both sensing and communication.,[C11: p.5163–5164] Active RIS subject to maximum power at BS/RIS and element magnitude limits...,[C12: p.5159–5161] Numerical simulations comparing schemes... demonstrating robustness and gains of proposed design.,,,[C1] p.5158–5160; [C2] p.5151–5153; [C3] p.5159–5163; [C4] p.5159–5161; Fig.4–5; [C5] p.5163–5164; [C6] Fig.4–5; [C7] p.5152–5156; [C9] p.5159–5161; [C10] p.5120–5125; 5159–5161; [C11] p.5163–5164; [C12] p.5159–5161,[C24: p.1] Rigorous robust secure ISAC beamforming design for active RIS; provides concrete optimization framework and quantitative SINR–secrecy trade-offs for benchmarking.,,,,,,,,,,,,,,,,,,,,,,
