Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename,Cascaded Path Realized (OPA→RIS),"Reasoning for ""Cascaded Path Realized (OPA→RIS)""",Comparators/Baselines Reported,"Reasoning for ""Comparators/Baselines Reported""","Key Physics Specified (λ, distance, aperture)","Reasoning for ""Key Physics Specified (λ, distance, aperture)""",OPA Present (optical phased array),"Reasoning for ""OPA Present (optical phased array)""",Optical Domain (not RF),"Reasoning for ""Optical Domain (not RF)""",Optical RIS/Metasurface Present,"Reasoning for ""Optical RIS/Metasurface Present""",Free-Space Optical Systems,"Reasoning for ""Free-Space Optical Systems""",ISAC Applications,"Reasoning for ""ISAC Applications""",Non-Line-of-Sight Scenarios,"Reasoning for ""Non-Line-of-Sight Scenarios""",OPA-RIS Cascaded Architecture,"Reasoning for ""OPA-RIS Cascaded Architecture""",Quantitative Performance Metrics,"Reasoning for ""Quantitative Performance Metrics""",Substantial Technical Content,"Reasoning for ""Substantial Technical Content""",Turbulent Channel Conditions,"Reasoning for ""Turbulent Channel Conditions""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Reconfigurable Planar Huygens' Metasurface for Wide Beamforming,"Sangmin Lee, Sangjo Choi",10.1002/admt.202402131,https://doi.org/10.1002/admt.202402131,Advanced Materials & Technologies,0,2025,-,no,No cascaded path is described; the system is a standalone RF metasurface.,maybe,The abstract doesn't explicitly mention comparisons or baselines.,yes,The abstract provides wavelength (λ0) and aperture size (4.47λ0 × 4.47λ0).,no,No optical phased array is mentioned or used. The system uses a 4x4 patch array at RF frequencies.,no,"The work is explicitly in the RF domain (5.5 GHz frequency mentioned), not optical wavelengths.",no,"While a metasurface is used, it's an RF Huygens' metasurface, not an optical one.",no,"This is an RF system, not an optical communication system.",maybe,"The paper mentions ""sensing applications"" but in the context of RF, not optical ISAC.",no,No mention of NLoS scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it discusses a reconfigurable Huygens' metasurface, but does not mention any cascaded configuration with OPAs.",yes,The paper reports aperture efficiency (21.09%) and beamforming angles (-70° to +70°).,yes,This appears to be a detailed technical study with experimental results.,no,No mention of atmospheric turbulence or channel conditions.,Exclude,"This RF-domain study of a Huygens' metasurface fails to meet key screening criteria related to optical phased arrays, optical RIS, and cascaded architectures. The research focuses on RF frequency (5.5 GHz) metasurface design with varactors, which fundamentally differs from the optical communication system requirements. While technically robust, the work does not align with the specified screening criteria for optical communication research.",0.1
Backscatter-Enabled RIS-Assisted NOMA ISAC,"Faraz Nassar, Keshav Singh, S. Prakriya, S. Singh, Chih-Peng Li, Zhiguo Ding",10.1109/ICCWorkshops59551.2024.10615833,https://doi.org/10.1109/ICCWorkshops59551.2024.10615833,2024 IEEE International Conference on Communications Workshops (ICC Workshops),1,2024,-,no,"The abstract does not specifically mention a cascaded OPA→RIS configuration. While there is a RIS system, it is not described as being in a cascaded path with an optical phased array.",yes,"The study appears to compare different system parameters and configurations, indicating the presence of comparators or baselines.",no,"The abstract mentions system parameters but does not provide specific details on wavelength, propagation distance, or aperture size.",no,The abstract does not mention the use of optical phased arrays. The system appears to use traditional base station transmission rather than an optical phased array.,no,"The abstract does not specify whether the work is in the optical or RF domain. Given the context of NOMA and backscatter, the study appears to be an RF-based implementation rather than an optical one.",no,"While the study includes a RIS, there is no indication that it is an optical RIS. The context suggests the RIS is implemented in the RF domain.",no,The abstract does not indicate that the study is focused on free-space optical communication systems or atmospheric optical links.,yes,The abstract explicitly mentions the study's focus on integrated sensing and communication (ISAC) applications.,no,The abstract does not mention the examination of non-line-of-sight (NLoS) optical communication scenarios.,no,The abstract does not specifically mention Optical Phased Arrays (OPAs) in a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). The study appears to be focused on a general RIS-NOMA system rather than an OPA-RIS cascaded architecture.,yes,The study mentions sum rate and sensing power as quantitative performance metrics.,yes,"The abstract indicates that this is a detailed technical study with optimization algorithms and simulations, suggesting substantial technical content.",no,The abstract does not mention any quantified atmospheric turbulence parameters or the consideration of turbulent channel conditions.,Exclude,"The study appears to be an RF-based RIS-NOMA system focused on integrated sensing and communication, lacking specific optical domain characteristics such as optical phased arrays or optical RIS implementation. Critical screening criteria related to optical systems are not met, with the research primarily addressing RF communication system optimization and performance metrics. While technically substantive, the work does not align with the optical system requirements of the screening criteria.",1.4
RIS-Assisted Communication Radar Coexistence: Joint Beamforming Design and Analysis,"Yinghui He, Yunlong Cai, Hao Mao, Guanding Yu",10.1109/jsac.2022.3155507,https://doi.org/10.1109/jsac.2022.3155507,IEEE Journal on Selected Areas in Communications,143,2022,-,no,"While there is a cascaded configuration, it's between two RF RISs, not OPA→RIS.",yes,The paper mentions comparing their algorithms against benchmark algorithms.,no,The abstract doesn't mention specific wavelengths or distances.,no,No optical phased array is mentioned or used. The system uses radar and wireless communication.,no,"The abstract clearly indicates this is a wireless communication system, not an optical system. There is no mention of optical wavelengths or optical components.",no,"While RIS is used, it's clearly in the RF domain, not optical.",no,"This is a wireless communication system, not a free-space optical system.",yes,The paper explicitly focuses on ISAC applications.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,"The paper discusses RIS but not in combination with OPAs. It focuses on double-RIS for radar-communication coexistence, rather than investigating OPAs in a cascaded configuration with RIS.",maybe,"While specific metrics aren't mentioned in the abstract, the paper discusses performance optimization and comparison.",yes,This appears to be a detailed technical analysis with algorithms and simulations.,no,There is no mention of atmospheric turbulence or optical channel conditions.,Exclude,"This research focuses on wireless communication systems using reconfigurable intelligent surfaces (RIS) for radar-communication coexistence, which fundamentally differs from optical phased array architectures. The study is rooted in RF wireless communication, lacking optical domain characteristics, wavelength specifications, or optical metasurface components. Consequently, the paper does not align with the screening criteria targeting optical systems and OPA-RIS configurations.",0.1
CsiNet-Former Network for Bilateral User 3D Localization in STAR-RIS-Assisted MISO Systems,"Jianzheng Li, Weijiang Wang, Rongkun Jiang, Shihan Huang",10.1109/GCWkshps58843.2023.10464850,https://doi.org/10.1109/GCWkshps58843.2023.10464850,2023 IEEE Globecom Workshops (GC Wkshps),1,2023,-,no,"While there is a cascaded system (STAR-RIS), it is not an OPA→RIS configuration.",yes,The paper mentions comparing different STAR-RIS modes and comparing against existing location methods.,no,"The abstract mentions some metrics (0.75m error, 0.034m single-side error) but does not specify wavelength or aperture sizes.",no,"No mention of optical phased arrays is made, suggesting the system is RF-based.",no,"There is no indication of the work being in the optical domain, as the context is clearly RF-based 6G mobile communications.",no,"While RIS (STAR-RIS) is present, it is not specified as an optical metasurface, and the context suggests an RF implementation.",no,"This appears to be a RF-based system for mobile communications, not a free-space optical system.",yes,The paper explicitly focuses on integrated sensing and communications for 6G.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,"The paper discusses STAR-RIS but does not mention optical phased arrays, indicating that it is focused on RF-based RIS systems for 6G communications rather than an OPA-RIS cascaded architecture.",yes,The paper reports specific localization errors and performance metrics.,yes,The paper appears to be a full technical paper with simulation results and novel algorithm development.,no,There is no mention of atmospheric turbulence or channel conditions.,Exclude,"The research focuses on RF-based 6G mobile communications using STAR-RIS for integrated sensing and communication, but lacks key optical domain requirements such as optical phased arrays, optical metasurfaces, or free-space optical systems. Despite presenting substantial technical content and addressing ISAC applications, the study fundamentally does not meet the core screening criteria related to optical technologies.",1.4
Uplink Sensing and Localization in RIS-Assisted MISO-OFDM Systems via Newton-Refined MLE,"Ural Mutlu, Y. Kabalcı",10.1109/GPECOM65896.2025.11061852,https://doi.org/10.1109/GPECOM65896.2025.11061852,"Global Power, Energy and Communication Conference",0,2025,-,no,The system uses RIS for wireless communication but not in a cascaded OPA-RIS configuration.,yes,The paper appears to compare different estimation methods (SOMP vs MLE).,no,The abstract does not mention wavelength or specific propagation distances.,no,No optical phased array is mentioned or used in the paper.,no,"The paper is clearly a wireless RF system using OFDM, not an optical system in the nm wavelength range.",no,"While RIS is used, it is in the RF domain, not an optical RIS/metasurface/programmable mirror.",no,"This is a wireless RF system, not an optical communication system.",yes,The paper explicitly focuses on integrated sensing and communication applications.,yes,The paper explicitly mentions NLoS paths and their use for passive scatterer sensing.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it discusses RIS in wireless networks but does not mention optical phased arrays or a cascaded configuration.",yes,The paper mentions estimation accuracy for angles and delays.,yes,This appears to be a full technical paper with detailed methodology and simulation results.,no,There is no mention of atmospheric turbulence or related parameters.,Exclude,"This wireless communication research focuses on RF-based Reconfigurable Intelligent Surfaces (RIS) for integrated sensing and communication, fundamentally diverging from optical domain requirements. The study lacks optical phased arrays, optical metasurfaces, and free-space optical system characteristics, rendering it incompatible with the specified screening criteria. Despite demonstrating technical depth in wireless communication, the paper does not meet the core optical system specifications.",0.1
Joint Active and Passive Beamforming Design for Secure RIS-Aided ISAC System,"Jianglin Ye, Jianxin Dai, Cunhua Pan, Kezhi Wang, Jingjing Li",10.1109/LWC.2025.3528080,https://doi.org/10.1109/LWC.2025.3528080,IEEE Wireless Communications Letters,3,2025,-,no,"While there is a RIS-based system, there's no mention of OPA→RIS cascading.",yes,"The study compares against ""random phase and separate beamforming schemes.""",no,"The abstract does not provide wavelength, propagation distance, or aperture size information.",no,There is no mention of optical phased arrays in the abstract.,no,"The abstract does not specify whether the work is in the optical regime or RF/mmWave. The mention of ""base station"" and general RIS terminology suggests this might be RF-based.",no,"While RIS is present, there's no indication it's an optical metasurface.",maybe,"While NLoS scenarios are mentioned, it's not explicitly stated whether this is free-space optical.",yes,"The study explicitly mentions ""integrated sensing and communication (ISAC) system.""",yes,"The study explicitly mentions ""non-line-of-sight (NLoS) covered areas.""",no,The abstract does not specifically mention optical phased arrays (OPAs) in a cascaded configuration with reconfigurable intelligent surfaces (RIS). It appears to be a general RIS-aided system without explicit OPA components.,yes,"The study mentions ""sensing performance"" and ""secrecy rate"" as metrics.",yes,The study appears to be a technical analysis with optimization framework and numerical results.,no,There is no mention of atmospheric turbulence parameters.,Include,"The study appears to be a RF-based RIS system lacking optical domain components, with no evidence of optical phased arrays or metasurfaces. While demonstrating technical depth in ISAC and NLoS scenarios, the research fails to meet critical screening criteria related to optical systems and OPA-RIS cascaded architecture. Consequently, the paper does not align with the specified optical research parameters.",2.5
The Interplay of DMA and RIS for Near-Field Integrated Sensing and Symbiotic Radio Systems,"Zhengyu Zhu, Mengke Ning, Gangcan Sun, Zheng Chu, Peijia Liu, Bo Ai, Inkyu Lee",10.1109/JIOT.2025.3570012,https://doi.org/10.1109/JIOT.2025.3570012,IEEE Internet of Things Journal,0,2025,-,no,The system described is not a cascaded OPA→RIS configuration.,yes,"The study compares fully-digital and DMA configurations, providing a baseline for comparison.",maybe,"While some parameters are mentioned (SNR, power), specific wavelengths and distances are not explicitly stated in the abstract.",no,"No optical phased array is mentioned in the paper. The paper discusses RF antennas and dynamic metasurface antenna (DMA), but not an optical phased array.",no,"The paper appears to be in the RF domain, discussing base stations and IoT devices, rather than the optical regime with wavelengths in the nanometer range, lasers/LEDs/VCSELs, or optical metasurfaces/SLMs.",no,"While a metasurface is mentioned (DMA), it is in the RF context, not an optical RIS/metasurface/programmable mirror.",no,"This is a radio communication system, not a free-space optical system.",yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,no,"The paper specifically mentions near-field operation, but does not discuss non-line-of-sight (NLoS) scenarios.",no,"The paper does not investigate Optical Phased Arrays (OPAs) in a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it discusses RIS with base station antennas, but not specifically in an optical phased array context.",yes,"The study reports SNR, transmission rates, and power consumption metrics as quantitative performance metrics.",yes,"This is a technical paper with an optimization framework, numerical results, and detailed analysis, indicating substantial technical content.",no,There is no mention of atmospheric turbulence or optical channel conditions in the paper.,Exclude,"The research focuses on a radio communication system using reconfigurable intelligent surfaces, operating in the RF domain with base station antennas and IoT devices. Despite demonstrating technical depth in integrated sensing and communication, the study fundamentally lacks optical components, phased arrays, and free-space optical characteristics. Consequently, the work does not meet the core screening criteria related to optical systems and cascaded architectures.",0.1
Reconfigurable Intelligent Surface Assisted NOMA Empowered Integrated Sensing and Communication,"Jia-kuo Zuo, Yuanwei Liu",10.1109/GCWkshps56602.2022.10008704,https://doi.org/10.1109/GCWkshps56602.2022.10008704,2022 IEEE Globecom Workshops (GC Wkshps),10,2022,-,no,The abstract doesn't describe a cascaded OPA→RIS path. It focuses on joint optimization of active and passive beamforming.,yes,The study compares RIS-assisted NOMA-ISAC with RIS-assisted ISAC without NOMA.,no,"The abstract doesn't mention wavelength, propagation distance, or aperture size.",no,There is no mention of optical phased arrays in the abstract. The focus is on radar beamforming.,no,"The abstract does not specify the frequency domain, but the context (radar sensing, NOMA) strongly suggests this is an RF implementation, not optical.",no,"While RIS is present, there's no indication it's an optical metasurface. The context suggests RF implementation.",no,There is no indication this is about free-space optical systems. The context suggests radar systems.,yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,no,Non-line-of-sight scenarios are not mentioned in the abstract.,no,"The abstract does not mention optical phased arrays, and the context suggests this is likely an RF implementation rather than an optical one.",yes,The study mentions radar beampattern gain as a metric.,yes,This appears to be a technical paper with optimization algorithms and numerical results.,no,There is no mention of atmospheric turbulence parameters.,Exclude,"The research focuses on radar sensing and NOMA-ISAC networks using reconfigurable intelligent surfaces, which appears to be an RF implementation rather than an optical system. Critical screening criteria related to optical phased arrays, optical metasurfaces, and free-space optical communication are not met, indicating the study does not align with the specified optical research parameters. While the paper demonstrates technical depth in ISAC applications, it fundamentally diverges from the optical domain requirements.",1.4
STAR-RIS Enabled ISAC Systems: Joint Rate Splitting and Beamforming Optimization,"Yuan Liu, Ruichen Zhang, Ruihong Jiang, Yongdong Zhu, Huimin Hu, Qiang Ni, Zesong Fei, D. Niyato",10.48550/arXiv.2411.09154,https://doi.org/10.48550/arXiv.2411.09154,arXiv.org,0,2024,-,no,"While there is a cascaded system (BS → STAR-RIS → GT), it is not specifically an OPA→RIS configuration.",yes,"The abstract mentions that results are compared against ""other benchmarks.""",no,"The abstract does not provide wavelength, propagation distance, or aperture size information.",no,"There is no mention of optical phased arrays in the paper, indicating that the system appears to use traditional base station transmission rather than an optical phased array.",no,"The abstract does not specify the frequency domain or mention any optical components, suggesting that the system is likely an RF system rather than an optical one.",no,"While RIS is present (STAR-RIS), there is no indication that it is an optical metasurface, suggesting that the RIS is likely an RF-based system.",no,There is no indication that this is an optical system; it appears to be RF-based.,yes,The paper explicitly focuses on integrated sensing and communication applications.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,"The paper discusses STAR-RIS but does not mention optical phased arrays, indicating that it is likely a general RIS system without specific optical components.",yes,The study reports SINR as a performance metric.,yes,This is a detailed technical study with optimization algorithms and simulation results.,no,There is no mention of atmospheric turbulence or channel conditions.,Exclude,"The study focuses on a STAR-RIS integrated sensing and communication system in the RF domain, lacking specific optical components or wavelength specifications. While demonstrating substantial technical depth with optimization algorithms and performance metrics, the research does not meet the optical phased array and metasurface requirements of the screening criteria. The paper appears to be a comprehensive RF-based RIS study rather than an optical communication investigation.",1.4
RIS-Assisted Joint Waveform Design for PAPR-Aware AAV-Enabled Integrated Sensing and Communication,"Meng Gu, Yaxi Liu, Boxin He, Huangfu Wei, Keping Long",10.1109/TVT.2025.3543634,https://doi.org/10.1109/TVT.2025.3543634,IEEE Transactions on Vehicular Technology,1,2025,-,no,"While there is a RIS system, it is not in a cascaded configuration with an OPA.",yes,The abstract mentions baselines and comparisons.,no,"The abstract does not mention wavelength, propagation distance, or aperture size.",no,There is no mention of optical phased arrays in the abstract.,no,"The abstract does not specify the frequency domain or mention optical components, and the context suggests the study is focused on RF/microwave systems rather than the optical regime.",no,"While RIS is present, it is not specified as an optical metasurface.",maybe,The abstract discusses AAV-enabled systems but does not specify if they are optical.,yes,The abstract explicitly focuses on Integrated Sensing and Communication applications.,maybe,Non-line-of-sight scenarios are not explicitly mentioned.,no,"The abstract discusses RIS-assisted systems but does not mention Optical Phased Arrays, suggesting this is a general RIS system study rather than one investigating OPA-RIS cascaded architecture.",yes,"The study reports PAPR, MUI, and BPM metrics.",yes,This is a detailed technical study with optimization and experimental results.,no,There is no mention of atmospheric turbulence parameters.,Exclude,"The study focuses on RIS-assisted AAV-enabled ISAC systems with RF/microwave characteristics, lacking specific optical domain specifications or optical phased array components. While demonstrating substantial technical depth with quantitative performance metrics and ISAC applications, the research does not meet key criteria related to optical systems, wavelength specifications, or OPA-RIS cascaded architecture. The work appears to be a comprehensive RF-based communication and sensing optimization study rather than an optical research investigation.",1.4
Sionna RT: Differentiable Ray Tracing for Radio Propagation Modeling,"J. Hoydis, Fayccal Ait Aoudia, Sebastian Cammerer, Merlin Nimier-David, Nikolaus Binder, Guillermo Marcus, Alexander Keller",10.1109/GCWkshps58843.2023.10465179,https://doi.org/10.1109/GCWkshps58843.2023.10465179,2023 IEEE Globecom Workshops (GC Wkshps),92,2023,-,no,There's no discussion of cascaded paths.,no,The abstract doesn't explicitly mention comparisons or baselines.,no,"The abstract doesn't provide specific wavelengths or distances, though it mentions these can be parameters in the simulation.",no,There's no mention of optical phased arrays.,no,"This is explicitly about radio wave propagation, not the optical domain.",no,"While RIS is mentioned, it's in the context of radio applications, not optical RIS/metasurface.",no,"This is about radio wave propagation, not free-space optical systems.",yes,ISAC is mentioned as one of the research topics.,no,Non-line-of-sight scenarios are not explicitly mentioned.,no,The abstract mentions RIS but not in a cascaded configuration with OPAs. It's a general ray tracing tool for various applications including RIS.,no,"While the tool can compute channel impulse responses, specific metrics aren't mentioned in the abstract.",yes,This is a technical paper about a simulation tool with substantial content.,no,There is no mention of atmospheric turbulence parameters.,Exclude,"This research focuses on a radio wave propagation simulation tool, fundamentally misaligning with the optical domain screening criteria. The paper lacks key elements such as optical phased arrays, optical RIS, and free-space optical communication systems, rendering it incompatible with the specified research parameters. While technically substantive, the work does not meet the core requirements for optical system investigation.",0.1
Covert Beamforming Design for Active RIS-Assisted NOMA-ISAC Systems,"Peng Chen, Fengcheng Xiao, Liang Yang, Theodoros A. Tsiftsis, Hongwu Liu",10.1109/GCWkshps58843.2023.10464669,https://doi.org/10.1109/GCWkshps58843.2023.10464669,2023 IEEE Globecom Workshops (GC Wkshps),5,2023,-,no,"The cascaded path is from the base station to the RIS to the users, not an OPA to RIS configuration.",yes,The paper compares the performance of active RIS versus passive RIS.,no,"The abstract does not mention wavelength, propagation distance, or aperture sizes.",no,"There is no mention of optical phased arrays in the system, which uses base station transmission and RIS reflection instead.",no,"The context of NOMA and base stations strongly suggests this is an RF implementation, not an optical system.",no,"While RIS is present, it is described as an ""active RIS"" in a context suggesting RF implementation, not an optical metasurface.",no,"The system appears to be a wireless communication system, likely RF-based, rather than a free-space optical system.",yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,"The abstract discusses RIS but does not mention optical phased arrays, suggesting this is a general RIS system likely in the RF domain rather than an optical OPA-RIS cascaded configuration.",yes,The paper mentions covert rate and sensing beampattern similarity as quantitative performance metrics.,yes,"The paper presents a detailed technical analysis with optimization algorithms and numerical results, indicating substantial technical content.",no,There is no mention of atmospheric conditions or turbulence parameters.,Exclude,"The research focuses on a radio-frequency reconfigurable intelligent surface (RIS) system for integrated sensing and communication, which fundamentally differs from the required optical phased array architecture. Critical screening criteria related to optical domain, optical phased arrays, and free-space optical systems are not met, rendering the study non-compliant with the specified technical requirements. Despite presenting substantial technical content and addressing ISAC applications, the core technological framework does not align with the optical system specifications.",1.4
An Integrated Sensing and Communication Architecture using Reconfigurable Intelligent Surfaces for 6G Wireless Networks,"Baiyang Liu, Jinyu Wu, Qingfeng Zhang, Hang Wong",10.1109/GSMM61775.2024.10553124,https://doi.org/10.1109/GSMM61775.2024.10553124,2024 15th Global Symposium on Millimeter-Waves & Terahertz (GSMM),0,2024,-,no,No cascaded path is mentioned or implied in the abstract.,yes,The abstract mentions performance improvements (8 dB boost) compared to a baseline.,maybe,"While the frequency range is specified (15-21 GHz), this is RF, not optical parameters.",no,No optical phased array is mentioned or implied in the abstract.,no,"The study operates in the RF domain (15-21 GHz frequency range), not optical wavelengths.",no,"While RIS is used, it's clearly in the RF domain, not optical.",no,"This is a RF wireless system, not an optical system.",yes,The abstract explicitly mentions ISAC functionality.,no,Non-line-of-sight scenarios are not mentioned in the abstract.,no,The abstract does not mention anything about optical phased arrays (OPAs) or a cascaded configuration with reconfigurable intelligent surfaces (RIS).,yes,"The abstract reports specific metrics (1.5 cm detection error, 8 dB signal boost).",yes,The paper appears to be a technical study with experimental results.,no,There is no mention of atmospheric conditions or turbulence parameters in the abstract.,Exclude,"This research focuses on RF reconfigurable intelligent surfaces (RIS) operating in the 15-21 GHz frequency range, which fundamentally differs from optical systems. The study demonstrates ISAC capabilities with precise object detection and signal enhancement, but lacks optical phased arrays, optical metasurfaces, or free-space optical communication components. Consequently, the work does not meet the core screening criteria for an optical RIS investigation.",0.1
Optimizing Hybrid RIS-Aided ISAC Systems in V2X Networks: A Deep Reinforcement Learning Method for Anti-Eavesdropping Techniques,"Yu Yao, Zhixing Zhu, Pu Miao, Xu Cheng, Feng Shu, Jiangzhou Wang",10.1109/TVT.2025.3538471,https://doi.org/10.1109/TVT.2025.3538471,IEEE Transactions on Vehicular Technology,3,2025,-,no,"While there is beamforming and spectrum sharing, it's not an OPA→RIS cascaded path.",yes,The paper compares their HTD3 method with existing learning methods.,no,"The abstract doesn't mention wavelength, propagation distance, or aperture sizes.",no,No mention of optical phased arrays is made in the paper. The system uses RF-based RIS.,no,"The paper clearly operates in the RF domain, discussing V2X networks and radio spectrum reuse, rather than the optical regime.",no,"While RIS is present, it's clearly an RF implementation, not an optical metasurface.",no,"This is a radio frequency V2X system, not a free-space optical system.",yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,maybe,Not explicitly mentioned in the abstract.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on hybrid active-passive RIS in V2X networks.",yes,The study reports on secrecy rate and radar detection capability.,yes,"This is a full technical paper with optimization, simulation, and numerical results.",no,No mention of atmospheric turbulence or optical channel conditions.,Exclude,"The research focuses on a radio frequency V2X network with hybrid RIS, fundamentally diverging from optical domain requirements and lacking optical phased arrays or metasurfaces. Despite demonstrating substantial technical depth in integrated sensing and communication, the study fails to meet critical screening criteria related to optical systems, wavelength specifications, and free-space optical communication. The paper's RF-centric approach and absence of optical components render it non-compliant with the specified screening requirements.",0.1
Reconfigurable Intelligent Surface Enabled Cognitive Radio Networks,"Vishwas Srivastava, Binod Prasad",10.1109/SPICES62143.2024.10779647,https://doi.org/10.1109/SPICES62143.2024.10779647,"2024 IEEE International Conference on Signal Processing, Informatics, Communication and Energy Systems (SPICES)",1,2024,-,no,"The RIS is used for RF spectrum sensing and energy harvesting, not in a cascaded optical configuration.",yes,"The paper mentions using ROC curves and outage probability for performance comparison, indicating the presence of comparators or baselines.",no,"The abstract does not mention wavelength, propagation distance, or aperture size.",no,No optical phased array is mentioned or implied in the abstract.,no,"The paper is clearly focused on radio frequency (RF) systems, specifically cognitive radio networks and spectrum sensing, rather than the optical domain.",no,"While RIS is present, it is in the RF domain, not the optical domain.",no,"The paper focuses on RF cognitive radio networks, not free-space optical systems.",no,"While the paper discusses sensing and communication, it is in the RF domain, not optical ISAC.",no,The abstract does not mention non-line-of-sight (NLoS) scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on RIS in cognitive radio networks, which is a different domain.",yes,"The study reports ROC curves and outage probability metrics, which are quantitative performance metrics.",yes,"The paper appears to be a technical study with simulations and performance analysis, indicating substantial technical content.",no,There is no mention of atmospheric turbulence or optical channel conditions.,Exclude,"The research focuses on radio frequency cognitive radio networks using reconfigurable intelligent surfaces, which fundamentally differs from optical systems involving phased arrays and metasurfaces. Critical screening criteria related to optical domain, optical phased arrays, and free-space optical communication are not met, rendering the study non-compliant with the specified research parameters. The paper's technical content and performance metrics, while substantial, are centered on RF spectrum sensing and energy harvesting rather than optical communication systems.",0.1
All-Optical Computing for Super-Resolution Direction of Arrival Estimation,"Sheng Gao, Hang Chen, Haiou Zhang, Zhi Sun, Yuan Shen, Xing Lin",10.1109/ACP/IPOC63121.2024.10809945,https://doi.org/10.1109/ACP/IPOC63121.2024.10809945,Asia Communications and Photonics conference and Exhibition,0,2024,-,no,There is no clear indication of an OPA→RIS cascaded path in the paper.,yes,The paper mentions comparison with commercial devices and discusses performance improvements (four times higher resolution than diffraction limit).,no,The abstract mentions frequency bandwidth (5 GHz) but does not specify wavelength or propagation distances.,no,There is no explicit mention of optical phased arrays in the paper.,no,The paper appears to focus on RF frequencies (5 GHz bandwidth mentioned) rather than the optical regime.,no,"While meta-structures are mentioned, they appear to be used for DOA estimation rather than as an optical RIS. The RIS mentioned is in the context of integrated sensing and communication but not clearly optical.",no,The paper appears to focus on RF rather than free-space optical systems.,yes,The paper explicitly mentions integrated sensing and communication applications.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,maybe,"The paper does not explicitly describe an OPA-RIS cascaded configuration, and while it mentions ""integrated sensing and communication"" with RIS, it is not clear if this involves an OPA cascade.",yes,The paper mentions angular resolution improvements and estimation delay metrics.,yes,The paper appears to be a substantial technical paper with experimental results and theoretical analysis.,no,There is no mention of atmospheric turbulence or channel conditions in the paper.,Include,"The research primarily focuses on RF-based diffractive neural networks for direction of arrival estimation, lacking clear optical phased array or reconfigurable intelligent surface configurations. While demonstrating technical sophistication in electromagnetic wave processing, the study does not meet key screening criteria related to optical domain, OPA-RIS cascaded architecture, or free-space optical communication systems. The work appears more aligned with RF sensing and communication technologies rather than the specified optical research parameters.",2.7
STAR-RIS Aided Integrated Sensing and Communication Over High Mobility Scenario,"Muye Li, Shunde Zhang, Yao Ge, Zan Li, Feifei Gao, Pingzhi Fan",10.1109/TCOMM.2024.3381725,https://doi.org/10.1109/TCOMM.2024.3381725,IEEE Transactions on Communications,21,2024,-,no,"While there is a cascaded path (BS-RIS-RSUs), it is not an optical OPA→RIS configuration.",yes,"The paper mentions optimization and trade-off design, suggesting comparative analysis.",maybe,"The abstract mentions channel parameters, but does not explicitly state wavelength or specific distances/apertures.",no,No optical phased array is mentioned or used in the paper. The system operates in the millimeter wave domain.,no,"The paper explicitly states that it is a ""millimeter wave system"" and does not mention any optical components or wavelengths, indicating that it is not in the optical domain.",no,"While a RIS (STAR-RIS) is used, it is for millimeter wave applications, not optical wavelengths.",no,"This is a millimeter wave system, not a free-space optical system.",yes,The paper explicitly focuses on Integrated Sensing and Communication (ISAC) applications.,maybe,"While the system involves vehicle-to-RSU communication, non-line-of-sight scenarios are not explicitly mentioned.",no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on a millimeter wave system using a STAR-RIS, which is a type of RIS, but not in combination with an OPA.",yes,"The paper discusses signal strength and performance metrics, though specific values are not mentioned in the abstract.",yes,This appears to be a detailed technical paper with theoretical analysis and simulations.,no,There is no mention of atmospheric turbulence or optical channel conditions.,Exclude,"This millimeter wave system study focuses on Integrated Sensing and Communication (ISAC) using a STAR-RIS, but fundamentally fails key screening criteria related to optical systems. The research operates in the millimeter wave domain, lacks optical phased arrays, and does not involve free-space optical communication, rendering it incompatible with the specified screening requirements.",0.1
